Parameter,Parameter Code,Method Code,Recording Mode,Collection Description,Analysis Description,Units,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator
Oxides of nitrogen (NOx),42603,037,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-0279-037,THERMO ELECTRON 14D/E,10.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,038,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-0479-038,BENDIX 8101B,10.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,040,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-0879-040,PHILIPS PW9762/02,10.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,042,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-0280-042,MONITOR LABS 8840,10.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,074,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-1289-074,THERMO ENVIRON. INST. MODEL 42,10.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,082,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-0691-082,ADVANCED POLL INSTR MODEL 200,10.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,083,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-0991-083,MONITOR LAB 8841,10.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,090,Continuous,Instrumental,Gas Phase Chemiluminescence,Parts per billion,FRM,RFNA-1292-090,LEAR SIEGLER MCC ML9841,10.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,099,Continuous,INSTRUMENTAL,GAS PHASE CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-1104-099,API MODEL 200A/E NO ANALYZER,5.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,121,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-0798-121,DDK CORP MODEL GLN-114E,5.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,146,Continuous,E. S. A. Model AC32M,Chemiluminescent,Parts per billion,FRM,RFNA-0202-146,Environnement S. A. Model AC32M Chem NOX Analyzer,5.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,152,Continuous,Instrumental,Chemiluminescent,Parts per billion,FRM,RFNA-0804-152,SIR S.A. Model S-5012,5.0,-5.0,400.0,1,T
Oxides of nitrogen (NOx),42603,157,Continuous,Instrumental,Chemiluminescence,Parts per billion,FRM,RFNA-0506-157,Horiba APNA-370,5.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,163,Continuous,Instrumental,Chemiluminescence,Parts per billion,FRM,RFNA-0706-163,Seres Model NOx 2000 G,5.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,171,Continuous,Instrumental,Chemiluminescence,Parts per billion,FRM,RFNA-0508-171,DKK-TOA Corp Model GLN-314E,5.0,-5.0,1200.0,1,T
Oxides of nitrogen (NOx),42603,186,Continuous,Instrumental,Chemiluminescence,Parts per billion,FRM,RFNA-0809-186,Ecotech Serinus 40 Oxides of Nitrogen Analyzer,5.0,-5.0,500.0,1,T
Oxides of nitrogen (NOx),42603,200,Continuous,Teledyne-API Model 200EUP or T200UP,Photolytic-Chemiluminescence,Parts per billion,FEM,EQNA-0512-200,Teledyne API Chemiluminescence Nitrogen Oxides Analyzer Automated,0.1,-5.0,2000.0,1,T
Oxides of nitrogen (NOx),42603,241,Continuous,Teledyne-API Model T200P Chemiluminescence,Photolytic-Chemiluminescence,Parts per billion,FEM,EQNA-1016-241,Teledyne API Chemiluminescence Nitrogen Oxides Analyzer Automated,0.4,-5.0,4000.0,1,T
Oxides of nitrogen (NOx),42603,243,Continuous,"2B Technologies, Model 405 nm",UV-absorbance at 405 nm,Parts per billion,FEM,EQNA-0217-243,"2B Technologies, Model 405 nm",1.0,-5.0,500.0,1,T
Oxides of nitrogen (NOx),42603,256,Continuous,Instrumental - Teledyne API - Model N500,Cavity-Attenuated Phase-Shift (CAPS) spectroscopy Nitrogen Oxides Analyzer,Parts per billion,FEM,EQNA-0320-256,T-API N500 CAPS Nitrogen Oxides Analyzer,0.1,-5.0,1000.0,1,T
Ozone,44201,003,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFOA-1075-003,MELOY 0A325-2R,0.005,-0.004,0.5,3,T
Ozone,44201,004,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFOA-1075-004,MELOY 0A350-2R,0.005,-0.004,0.5,3,T
Ozone,44201,007,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFOA-0176-007,BENDIX 8002,0.005,-0.004,0.5,3,T
Ozone,44201,014,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFOA-1076-014,MCMILLAN 1100-1,0.005,-0.004,0.5,3,T
Ozone,44201,015,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE RHODAMINE B DYE,Parts per million,FRM,RFOA-1076-015,MCMILLAN 1100-2,0.005,-0.004,0.5,3,T
Ozone,44201,016,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFOA-1076-016,MCMILLAN 1100-3,0.005,-0.004,0.5,3,T
Ozone,44201,017,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFOA-1176-017,MONITOR LABS 8410E,0.005,-0.004,0.5,3,T
Ozone,44201,019,Continuous,INSTRUMENTAL,ULTRA VIOLET,Parts per million,FEM,EQOA-0577-019,DASIBI 1003-AH--PC--RS,0.005,-0.004,0.5,3,T
Ozone,44201,020,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFOA-0577-020,BECKMAN 950A,0.005,-0.004,0.5,3,T
Ozone,44201,023,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE RHODAMINE B DYE,Parts per million,FEM,EQOA-0777-023,PHILIPS PW9771,0.005,-0.004,0.5,3,T
Ozone,44201,036,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFOA-0279-036,CSI 2000,0.005,-0.004,0.5,3,T
Ozone,44201,047,Continuous,INSTRUMENTAL,ULTRA VIOLET,Parts per million,FEM,EQOA-0880-047,THERMO ELECTRON 49,0.005,-0.004,0.5,3,T
Ozone,44201,053,Continuous,INSTRUMENTAL,ULTRA VIOLET,Parts per million,FEM,EQOA-0881-053,MONITOR LABS 8810,0.005,-0.004,0.5,3,T
Ozone,44201,055,Continuous,INSTRUMENTAL,ULTRA VIOLET,Parts per million,FEM,EQOA-0382-055,PCI OZONE CORP. LC-12,0.005,-0.004,0.5,3,T
Ozone,44201,056,Continuous,INSTRUMENTAL,ULTRA VIOLET,Parts per million,FEM,EQOA-0383-056,DASIBI 1008-AH,0.005,-0.004,0.5,3,T
Ozone,44201,078,Continuous,INSTRUMENTAL,ULTRA VIOLET,Parts per million,FEM,EQOA-0990-078,ENVIRONICS SERIES 300,0.005,-0.004,0.5,3,T
Ozone,44201,087,Continuous,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,Parts per million,FEM,EQOA-0992-087,MODEL 400 OZONE ANALYZER,0.005,-0.004,0.5,3,T
Ozone,44201,091,Continuous,INSTRUMENTAL,ULTRAVIOLET RADIATION ABSORBTN,Parts per million,FEM,EQOA-0193-091,LEAR SIEGLER ML9810,0.005,-0.004,0.5,3,T
Ozone,44201,103,Continuous,INSTRUMENTAL,OPEN PATH O3 ANALYZER,Parts per million,FEM,EQOA-0495-103,OPSI MODEL AR 500 O3 ANALYZER,0.005,-0.004,0.5,3,T
Ozone,44201,105,Continuous,INSTRUMENTAL,UV PHOTOMETRIC,Parts per million,FEM,EQOA-0895-105,ENVIRONMENT SA MODEL Q341M,0.005,-0.004,0.5,3,T
Ozone,44201,112,Continuous,INSTRUMENTAL,ULTRAVIOLET ABSORPTION,Parts per million,FEM,EQOA-0196-112,HORIBA APOA-360,0.005,-0.004,0.5,3,T
Ozone,44201,134,Continuous,Instrumental,Ultra Violet Photometry,Parts per million,FEM,EQOA-0200-134,DKK MDL GUX-113E,0.005,-0.004,0.5,3,T
Ozone,44201,137,Continuous,Instrumental,Open Path o3 Analyzer,Parts per million,FEM,EQOA-0400-137,SANOA Longpath,0.005,-0.004,0.5,3,T
Ozone,44201,148,Continuous,Instrumental,Ultra violet Photometric,Parts per million,FEM,EQOA-0206-148,Environnement S.A. Model O342M UV Ozone Analyzer,0.005,-0.004,0.5,3,T
Ozone,44201,160,Continuous,INSTRUMENTAL,ULTRAVIOLET ABSORPTION,Parts per million,FEM,EQOA-0506-160,HORIBA APOA-370,0.005,-0.004,0.5,3,T
Ozone,44201,161,Continuous,INSTRUMENTAL,ULTRAVIOLET ABSORPTION,Parts per million,FEM,EQOA-0506-161,Seres Model OZ 2000 G,0.005,-0.004,0.5,3,T
Ozone,44201,164,Continuous,Instrumental,Photometric O3 Analyzer,Parts per million,FEM,EQOA-0207-164,SIR S A Model S-5014,0.005,-0.004,0.5,3,T
Ozone,44201,165,Continuous,Instrumental,Ultraviolet Absorption,Parts per million,FEM,EQOA-0407-165,"Tanabyte Models 722,723,724,725,726",0.005,-0.004,0.5,3,T
Ozone,44201,169,Continuous,Instrumental,DKK-TOA Model GUX-313E,Parts per million,FEM,EQOA-1107-169,DKK-TOA Model GUX313E,0.005,-0.004,0.5,3,T
Ozone,44201,187,Continuous,Instrumental,Ecotech Serinus 10,Parts per million,FEM,EQOA-0809-187,Ecotech Serinus 10 Ozone Analyzer,0.005,-0.004,0.5,3,T
Ozone,44201,190,Continuous,Instrumental,UV absorption photometry/UV 2B model 202 and 205,Parts per million,FEM,EQOA-0410-190,2B Technologies Model 202 Ozone Monitor,0.003,-0.004,0.5,3,T
Ozone,44201,199,Continuous,Instrumental,Chemiluminescence API Model 265E and T265,Parts per million,FEM,EQOA-0611-199,Teledyne API Model 265E and T265,0.0006,-0.004,0.5,3,T
Ozone,44201,214,Continuous,INSTRUMENTAL,UV absorption photometry,Parts per million,FEM,EQOA-0410-214,Teledyne API Model T204,0.005,-0.004,0.5,3,T
Ozone,44201,215,Continuous,INSTRUMENTAL,UV absorption photometry,Parts per million,FEM,EQOA-0410-215,2B Technologies Model 211,0.005,-0.004,0.5,3,T
Ozone,44201,218,Continuous,INSTRUMENTAL,UV absorption photometry,Parts per million,FEM,EQOA-0410-218,2B Technologies Model 106-L or 106OEM-L,0.005,-0.004,0.5,3,T
Ozone,44201,222,Continuous,INSTRUMENTAL,UV absorption photometry,Parts per million,FEM,EQOA-0415-222,Sutron Model 6030,0.005,-0.004,0.5,3,T
Ozone,44201,225,Continuous,INSTRUMENTAL,UV absorption photometry,Parts per million,FEM,EQOA-0410-225,Environment S.A. Model 42e,0.005,-0.004,0.5,3,T
Ozone,44201,227,Continuous,Instrumental,UV absorption photometry/2B Personal Ozone Monitor,Parts per million,FEM,EQOA-0815-227,2B Technologies POM,0.004,-0.004,0.5,3,T
PM10 - LC,85101,062,Intermittent,HI-VOL-WEDDING-INLET,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-1087-062,WEDDING & ASSOC HI-VOL,4.0,0.0,5000.0,0,T
PM10 - LC,85101,063,Intermittent,HI-VOL-SA/GMW1200,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-1287-063,SIERRA-ANDERSEN/GMW 1200,4.0,0.0,5000.0,0,T
PM10 - LC,85101,064,Intermittent,HI-VOL-SA/GMW-321-B,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-1287-064,SIERRA-ANDERSEN/GMW-321-B,4.0,0.0,5000.0,0,T
PM10 - LC,85101,065,Intermittent,HI-VOL-SA/GMW-321-C,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-1287-065,SIERRA-ANDERSEN/GMW-321-C,4.0,0.0,5000.0,0,T
PM10 - LC,85101,071,Intermittent,OREGON-DEQ-MED-VOL,GRAVIMETRIC-QUARTZ FILTERS,Micrograms/cubic meter (LC),FRM,RFPS-0389-071,OREGON-DEQ-MED-VOLUME SAMPLER,4.0,0.0,5000.0,0,T
PM10 - LC,85101,073,Intermittent,LO-VOL-DICHOTOMOUS-SA246B-INLT,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-0789-073,MODL SA241-SA241M-G241-ORG241M,4.0,0.0,5000.0,0,T
PM10 - LC,85101,076,Continuous,INSTRMENTL-ANDRSEN-SA246B-INLT,BETA-ATTENUATION,Micrograms/cubic meter (LC),FEM,EQPM-0990-076,ANDERSEN MODEL FH621-N PM10,4.0,-50.0,5000.0,0,T
PM10 - LC,85101,079,Continuous,INSTRUMENTAL-R&P SA246B-INLET,TEOM-GRAVIMETRIC,Micrograms/cubic meter (LC),FEM,EQPM-1090-079,RUPRCHT&PATSHNCK TEOM SER 1400,-50.0,-50.0,5000.0,0,T
PM10 - LC,85101,081,Continuous,INSTRUMENTAL-WEDDING-AUTOMATIC,BETA-RAY-ATTENUATION,Micrograms/cubic meter (LC),FEM,EQPM-0391-08,WEDDING & ASS. PM-10 AUTOMATED,4.0,0.0,5000.0,0,T
PM10 - LC,85101,098,Intermittent,R&P Model 2000 Partisol,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-0694-098,R & P PARTISOL 2000,4.0,0.0,5000.0,0,T
PM10 - LC,85101,122,Continuous,INSTRUMENT MET ONE 4 MODELS,BETA ATTENUATION,Micrograms/cubic meter (LC),FEM,EQPM-0798-122,MODELS BAM 1020-GBAM 1020- ETC,4.0,-10.0,5000.0,0,T
PM10 - LC,85101,124,Intermittent,BGI Inc. Model PQ100 PM10,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1298-124,BGI Model PQ100,4.0,0.0,5000.0,0,T
PM10 - LC,85101,125,Intermittent,BGI Inc. Model PQ200 PM10,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1298-125,BGI Model PQ200,4.0,0.0,5000.0,0,T
PM10 - LC,85101,126,Intermittent,R - P Co Partisol Model 2000,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1298-126,R - P Model 2000,4.0,0.0,5000.0,0,T
PM10 - LC,85101,127,Intermittent,R - P Co Partisol Model 2025,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1298-127,R - P Model 2025,4.0,0.0,5000.0,0,T
PM10 - LC,85101,130,Intermittent,Andersen RAAS10-100 Single channel,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0699-130,Andersen Model RAAS10-100 Single Channel,4.0,0.0,5000.0,0,T
PM10 - LC,85101,131,Intermittent,Andersen RAAS10-200 S-Channel,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0699-131,Andersen Model RAAS10-200,4.0,0.0,5000.0,0,T
PM10 - LC,85101,132,Intermittent,Andersen RAAS10-300 M-channel,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0699-132,Andersen Model RAAS10-300,4.0,0.0,5000.0,0,T
PM10 - LC,85101,141,Intermittent,Tisch Environ Model-6070 PM10 Hi-Vol,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0202-141,Tisch Environ. Model TE-6060 Hi-Vol SSI,4.0,0.0,5000.0,0,T
PM10 - LC,85101,150,Continuous,T A Series FH 62 C14 Continuous,Gravimetric,Micrograms/cubic meter (LC),FEM,EQPM-1102-150,Thermo Andersen FH 62 C14 Continuous,4.0,0.0,5000.0,0,T
PM10 - LC,85101,162,Intermittent,Hi Vol SSI Ecotech Model 3000,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0706-162,Ecotech Model 3000 PM10 Hi vol Sampler,4.0,0.0,5000.0,0,T
PM10 - LC,85101,197,Intermittent,Thermo Partisol Model 2000-D Dichot,Gravimetric,Micrograms/cubic meter (LC),FEM,EQPS-311-197,,4.0,0.0,5000.0,0,T
PM10 - LC,85101,208,Continuous,Thermo Scientific 1405-DF Dichotomous TEOM FDMS,FDMS Gravimetric,Micrograms/cubic meter (LC),FEM,EQPM-1013-208,Thermo Scientific 1405-DF FDMS Dichotomous FEM,2.0,-10.0,5000.0,1,T
PM10 - LC,85101,216,Intermittent,Tisch Model TE-Wilbur10 Low-Volume Sampler,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0714-216,Tisch Model TE-Wilbur10,4.0,0.0,5000.0,0,T
PM10 - LC,85101,226,Continuous,Met One E-BAM PLUS,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-1215-226,Met One E-BAM PLUS PM10,10.0,-15.0,10000.0,0,T
PM10 - LC,85101,231,Intermittent,Met One E-FRM PM10,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0216-231,Met One E-FRM PM10,4.0,0.0,5000.0,0,T
PM10 - LC,85101,239,Continuous,Teledyne API T640X at 16.67 LPM,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-239,T-API T640X at 16.67 LPM,0.1,0.0,10000.0,1,T
PM10 - LC,85101,246,Intermittent,Met One E-SEQ-FRM PM10,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0717-246,Met One E-SEQ-FRM PM10,4.0,0.0,5000.0,0,T
PM10 - LC,85101,639,Continuous,Teledyne API T640X at 16.67 LPM w/Network Data Alignment enabled,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-239,T-API T640X at 16.67 LPM w/Network Data Alignment enabled,0.1,0.0,10000.0,1,T
PM10 Total 0-10um STP,81102,062,Intermittent,HI-VOL-WEDDING-INLET,GRAVIMETRIC,Micrograms/cubic meter (25 C),FRM,RFPS-1087-062,WEDDING & ASSOC  HI-VOL,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,063,Intermittent,HI-VOL SA/GMW-1200,GRAVIMETRIC,Micrograms/cubic meter (25 C),FRM,RFPS-1287-063,GMW Model 1200,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,064,Intermittent,HI-VOL-SA/GMW-321-B,GRAVIMETRIC,Micrograms/cubic meter (25 C),FRM,RFPS-1287-064,SIERRA-ANDERSEN/GMW 321-B,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,065,Intermittent,HI-VOL-SA/GMW-321-C,GRAVIMETRIC,Micrograms/cubic meter (25 C),FRM,RFPS-1287-065,SIERRA-ANDERSEN/GMW 321-C,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,071,Intermittent,OREGON-DEQ-MED-VOL,GRAVIMETRIC-QUARTZ FILTERS,Micrograms/cubic meter (25 C),FRM,RFPS-0389-071,OREGON DEQ MED VOLUME SAMPLER,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,073,Intermittent,LO-VOL-DICHOTOMOUS-SA246B-INLT,GRAVIMETRIC,Micrograms/cubic meter (25 C),FRM,RFPS-0789-073,MODL SA241-SA241M-G241-ORG241M,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,076,Continuous,INSTRMENTL-ANDRSEN-SA246B-INLT,BETA-ATTENUATION,Micrograms/cubic meter (25 C),FEM,EQPM-0990-076,ANDERSEN MODEL FH62I-N PM10,4.0,-50.0,5000.0,0,T
PM10 Total 0-10um STP,81102,079,Continuous,INSTRUMENTAL-R&P SA246B-INLET,TEOM-GRAVIMETRIC,Micrograms/cubic meter (25 C),FEM,EQPM-1090-079,RUPRCHT&PATSHNCK TEOM SER 1400,-50.0,-50.0,13000.0,0,T
PM10 Total 0-10um STP,81102,081,Continuous,INSTRUMENTAL-WEDDING-AUTOMATIC,BETA-RAY-ATTENUATION,Micrograms/cubic meter (25 C),FEM,EQPM-0391-081,WEDDING & ASS. PM-10 AUTOMATED,-10.0,-10.0,5000.0,0,T
PM10 Total 0-10um STP,81102,098,Intermittent,R&P Model 2000 Partisol,GRAVIMETRIC,Micrograms/cubic meter (25 C),FRM,RFPS-0694-098,R & P PARTISOL 2000,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,122,Continuous,INSTRUMENT MET ONE 4 MODELS,BETA ATTENUATION,Micrograms/cubic meter (25 C),FEM,EQPM-0798-122,MODELS BAM 1020-GBAM 1020- ETC,4.0,-5.0,5000.0,0,T
PM10 Total 0-10um STP,81102,124,Intermittent,BGI Inc. Model PQ100 PM10,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-1298-124,BGI Model PQ100 PM10,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,125,Intermittent,BGI Inc. Model PQ200 PM10,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-1298-125,BGI Model PQ200 PM10,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,126,Intermittent,R - P Co Partisol Model 2000,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-1298-126,R - P Model 2000,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,127,Intermittent,R - P Co Partisol Model 2025,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-1298-127,R - P Model 2025,4.0,0.0,17000.0,0,T
PM10 Total 0-10um STP,81102,130,Intermittent,Andersen RAAS10-100 Single channel,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-0699-130,Andersen Model RAAS10-100 Single Channel,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,131,Intermittent,Andersen RAAS10-200 S-Channel,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-0699-131,Andersen Model RAAS10-200,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,132,Intermittent,Andersen RAAS10-300 M-channel,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-0699-132,Andersen Model RAAS10-300,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,141,Intermittent,Tisch Environ Model-6070 PM10 Hi-Vol,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-0202-141,Tisch Environ. Model TE-6060 Hi-Vol SSI,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,150,Continuous,T A Series FH 62 C14 Continuous,Beta Attenuation,Micrograms/cubic meter (25 C),FEM,EQPM-1102-150,Thermo Andersen FH 62 C14 Continuous,4.0,-50.0,5000.0,0,T
PM10 Total 0-10um STP,81102,151,Continuous,Environnement S.A. Model MP101M,Beta Attenuation,Micrograms/cubic meter (25 C),FEM,EQPM-0404-151,Environnement S.A. Model MP101M,4.0,-50.0,5000.0,0,T
PM10 Total 0-10um STP,81102,156,Continuous,Instrument DKK_TOA,Beta Attenuation,Micrograms/cubic meter (25 C),FEM,EQPM-0905-156,"DKK_TOA Models FPM_222/222C, FPM223/223C, DUB-222(S)/223(S)",4.0,-50.0,5000.0,0,T
PM10 Total 0-10um STP,81102,162,Intermittent,Hi Vol SSI Ecotech Model 3000,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-0706-162,Ecotech Model 3000 PM10 Hi vol Sampler,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,193,Continuous,OPSIS Model SM200 PM10 Monitor,Beta Attenuation,Micrograms/cubic meter (25 C),FEM,EQPM-0810-193,OPSIS Model SM200,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,197,Intermittent,Thermo Partisol Model 2000-D Dichot,GRAVIMETRIC,Micrograms/cubic meter (25 C),FEM,EQPS-311-197,,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,198,Intermittent,Thermo Partisol Model 2025-D Dichot,GRAVIMETRIC,Micrograms/cubic meter (25 C),FEM,EQPS-0311-198,,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,205,Intermittent,AP 602 BAM,Gravimetric,Micrograms/cubic meter (25 C),FEM,EQPM-0912-205,T-API M602 Beta,4.0,-10.0,1500.0,1,T
PM10 Total 0-10um STP,81102,208,Continuous,Thermo Scientific 1405-DF Dichotomous TEOM FDMS,FDMS Gravimetric,Micrograms/cubic meter (25 C),FEM,EQPM-1013-208,Thermo Scientific 1405-DF FDMS Dichotomous FEM,2.0,-10.0,5000.0,1,T
PM10 Total 0-10um STP,81102,216,Intermittent,Tisch Model TE-Wilbur10 Low-Volume Sampler,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-0714-216,Tisch Model TE-Wilbur10,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,226,Continuous,Met One E-BAM PLUS,Beta Attenuation,Micrograms/cubic meter (25 C),FEM,EQPM-1215-226,Met One E-BAM PLUS PM10,10.0,-15.0,10000.0,0,T
PM10 Total 0-10um STP,81102,231,Intermittent,Met One E-FRM PM10,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-0216-231,Met One E-FRM PM10,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,239,Continuous,Teledyne API T640X at 16.67 LPM,Broadband spectroscopy,Micrograms/cubic meter (25 C),FEM,EQPM-0516-239,T-API T640X at 16.67 LPM,0.1,0.0,10000.0,1,T
PM10 Total 0-10um STP,81102,246,Intermittent,Met One E-SEQ-FRM,Gravimetric,Micrograms/cubic meter (25 C),FRM,RFPS-0717-246,Met One E-SEQ-FRM PM10,4.0,0.0,5000.0,0,T
PM10 Total 0-10um STP,81102,639,Continuous,Teledyne API T640X at 16.67 LPM w/Network Data Alignment enabled,Broadband spectroscopy,Micrograms/cubic meter (25 C),FEM,EQPM-0516-239,T-API T640X at 16.67 LPM w/Network Data Alignment enabled,0.1,0.0,10000.0,1,T
PM10-2.5 - Local Conditions,86101,173,Intermittent,BGI Inc Model PQ200 PM10-2.5 Sampler Pair,Paired Gravimetric Difference,Micrograms/cubic meter (LC),FRM,RFPS-1208-173,BGI Inc. Model PQ200 Sampler Pair,3.0,-3.0,5000.0,1,T
PM10-2.5 - Local Conditions,86101,175,Intermittent,Thermo Scientific Partisol Model 2000 Sampler Pair,Paired Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0509-175,Thermo Scientific Partisol Model 2000 Sampler Pair,3.0,-3.0,5000.0,1,T
PM10-2.5 - Local Conditions,86101,176,Intermittent,Thermo Scientific Partisol-Plus Model 2025 Sequential Sampler Pair,Paired Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0509-176,Thermo Scientific Partisol-Plus  Model 2025 Sequential sampler pair,3.0,-3.0,5000.0,1,T
PM10-2.5 - Local Conditions,86101,178,Intermittent,Thermo Scientific Partisol 2000-D Dichotomous Sampler,Dichotomous Gravimetric,Micrograms/cubic meter (LC),FEM,EQPS-0509-178,Thermo Scientific Partisol 2000-D Dichotomous Sampler,3.0,-3.0,5000.0,1,T
PM10-2.5 - Local Conditions,86101,180,Intermittent,Thermo Scientific Partisol-Plus 2025-D Dichotomous Sequential Sampler,Dichotomous Gravimetric,Micrograms/cubic meter (LC),FEM,EQPS-0509-180,Thermo Scientific Partisol-Plus 2025-D Dichotomous Sequential Sampler,3.0,-3.0,5000.0,1,T
PM10-2.5 - Local Conditions,86101,185,Continuous,Met One BAM-1020 System,Paired Beta Difference,Micrograms/cubic meter (LC),FEM,EQPM-0709-185,Met One BAM-1020 System,3.0,-10.0,5000.0,1,T
PM10-2.5 - Local Conditions,86101,206,Continuous,Teledyne 602 Beta PLUS Monitor,Paired Beta Difference,Micrograms/cubic meter (LC),FEM,EQPM-0912-206,Teledyne 602 Beta PLUS Monitor,3.0,-10.0,1500.0,1,T
